CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000003492,3492,SUPER BODEGA ROSMERY,"C/18 ESQ. MAX ENRIQUEZ UREÑA , ENS. QUISQUEYA",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,QUISQUEYA,TRADICIONAL,319,WANNER DE JESUS CASTILLO VICENTE,WANNER DE JESUS CASTILLO VICENTE,RAMON CUELLO HN,RAMON CUELLO HN,18.4676532745361,-69.9478569030762,319 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008021,Ultima Aprobada,Elegible,18.4677164,-69.9478698,18.4677164-69.9478698,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,2.0,0.0,TITULAR,9000003492,,1.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000826,826,COLMADO  E Y M,C/ 13 # 68 27 DE FEBRERO,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,27 DE FEBRERO,TRADICIONAL,394,LUIS BREA JIMENEZ,LUIS BREA JIMENEZ,DANIEL BATISTA,DANIEL BATISTA,18.50125,-69.8852,394 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1150002943,Ultima Aprobada,Elegible,18.50142333333333,-69.88513166666667,18.5014233333333-69.8851316666667,ELEGIBLE,NO,S,S1,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,3.0,Día 3,,,SUPLENTE,9000000826,,3.0,JEYSON VALDEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SANTIAGO,ZONA NORTE,9000167476,167476,CATFETERIA BISTRO CAFE,AV 27 DE FEBRERO LOS JARDINES STGO,DEYBI VARGAS,SANTIAGO,SANTIAGO,LOS JARDINES METROPOLITANOS,C&B,366,CHRISTHIAN MERCADO,CHRISTHIAN MERCADO,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.45847596575562,-70.69474040847506,366 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151041278,Sin Visita,Elegible,19.45847596575562,-70.69474040847506,19.4584759657556-70.6947404084751,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,3.0,Día 3,39.0,0.0,TITULAR,9000167476,,3.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000119,119,BODEGA NACO,SIERVAS DE MARIA NACO STO DGO DN,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,ENSANCHE NACO,TRADICIONAL,332,WELLINTON YSRAEL CASANOVA MONTERO,WELLINTON YSRAEL CASANOVA MONTERO,RAMON CUELLO HN,RAMON CUELLO HN,18.48108101,-69.93009186,332 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169009394,Ultima Aprobada,Elegible,18.48110291,-69.93012989,18.48110291-69.93012989,ELEGIBLE,NO,T,T,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,3.0,Día 3,31.0,0.0,TITULAR,9000000119,,3.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000170,170,COLMADO RAMON MELO II,PRESA RIO BAO # 35 EL MILLON,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,EL MILLÓN,TRADICIONAL,317,FREYMI JOSE CASTRO PEREZ,FREYMI JOSE CASTRO PEREZ,RAMON CUELLO HN,RAMON CUELLO HN,18.45808,-69.961,317 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007449,Sin Visita Efectiva,Elegible,18.45808,-69.961,18.45808-69.961,ELEGIBLE,NO,T,T,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,21.0,0.0,TITULAR,9000000170,,2.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000180,180,SUPER BODEGA PERDOMO,GASPAR POLANCO # 96 BELLA VISTA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,BELLA VISTA,TRADICIONAL,418,ESFRAILYN GALVEZ BAUTISTA,ESFRAILYN GALVEZ BAUTISTA,JUAN BATISTA,JUAN BATISTA,18.4582966698541,-69.9424396091037,418 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150000525,Ultima Aprobada,Elegible,18.45831673,-69.94244043,18.45831673-69.94244043,ELEGIBLE,NO,T,T PANEL,DSTRIO104,SANTO DOMINGO,DSTRIO104-HATO NUEVO,3.0,Día 3,36.0,0.0,TITULAR,9000000180,,3.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000189,189,SUPER COLMADO ANTHONY,"C/LEONOR FELTZ ESQ. #6, MIRADOR SUR.",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,306,ANIBAL PUELLO,ANIBAL PUELLO,RAMON CUELLO HN,RAMON CUELLO HN,18.4455528259277,-69.9574279785156,306 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007452,Ultima Aprobada,Elegible,18.44555089,-69.95745744,18.44555089-69.95745744,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,15.0,0.0,TITULAR,9000000189,,2.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000011672,11672,COLMADO. KEY,CARR. LA VICTORIA NO.122 VILLA MELLA,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,VILLA MELLA,TRADICIONAL,363,ELIEZER DEL VILLAR,ELIEZER DEL VILLAR,FABIEL PEÑA,FABIEL PEÑA,18.5542619493273,-69.8985917833116,363 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153003219,Ultima Aprobada,Elegible,18.5542901,-69.8985926,18.5542901-69.8985926,ELEGIBLE,NO,S,S1,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,,,SUPLENTE,9000011672,,2.0,JEAN LUIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000571,571,BODEGA CHANELY II,MANUEL UBALDO GOMEZ/MANUELA DI VILLA CONSUELO,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,VILLA CONSUELO,TRADICIONAL,314,JOSE ENMANUEL ROSARIO MERCEDES,JOSE ENMANUEL ROSARIO MERCEDES,DANIEL BATISTA,DANIEL BATISTA,18.4869251251221,-69.9033584594727,314 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150002081,Ultima Aprobada,Elegible,18.48705245,-69.90339557,18.48705245-69.90339557,ELEGIBLE,NO,T,T PANEL,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,2.0,Día 2,28.0,0.0,TITULAR,9000000571,,2.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000713,713,COLMADO DEAZA,JOSE ORTEGA Y GASSET # 25 / ENS. KENNEDY,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,ENSANCHE KENNEDY,TRADICIONAL,421,SMAYLI RAMON RODRIGUEZ QUEZADA,SMAYLI RAMON RODRIGUEZ QUEZADA,RAMON CUELLO HN,RAMON CUELLO HN,18.48426247,-69.92098999,421 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008154,Ultima Aprobada,Elegible,18.48407333333333,-69.92091333333333,18.4840733333333-69.9209133333333,ELEGIBLE,NO,T,T,DSTRTO105,HATO NUEVO,DSTRTO105-HATO NUEVO,2.0,Día 2,30.0,0.0,TITULAR,9000000713,,2.0,JEYSON VALDEZ,Cargar
