CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000035398,35398,COLMADO CALDERON,"LA TOMA, VILLA FUNDACION",JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,VILLA FUNDACIÓN,TRADICIONAL,449,CECILIO RODRIGUEZ CORPORAN,CECILIO RODRIGUEZ CORPORAN,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.4290418624878,-70.1237306594849,449 SAN CRISTOBAL,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004327,Ultima Aprobada,Elegible,18.4290458,-70.1238212,18.4290458-70.1238212,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000035398,,1.0,ARILEYSIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000035433,35433,COL. MORETA,"C/ELCILIA PEPIN, FRENTE A LA ESCUELA DE CANASTICA",JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,450,PEDRO LUIS MARTINEZ,PEDRO LUIS MARTINEZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.4017028808594,-70.1268951416016,450 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004349,Ultima Incidencia,No Elegible,18.40175915,-70.12691,18.40175915-70.12691,ELEGIBLE,NO,S,S1,HTNVO101,HATO NUEVO,HTNVO101-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000035433,,1.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000036302,36302,COL TONIN,"C/LOS REGIDORES ESQ. FERNANDO LA PAE,MADRE VIEJA.S",JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,445,JOSE ALVAREZ,JOSE ALVAREZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.4059032440186,-70.1017807006836,445 SAN CRISTOBAL,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004627,Sin Visita Efectiva,Elegible,18.4059032440186,-70.1017807006836,18.4059032440186-70.1017807006836,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,3.0,Día 3,,,SUPLENTE,9000036302,,3.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000034911,34911,COL. WILLIAN,HERMANAS MIRABAL Ñ 55,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,450,PEDRO LUIS MARTINEZ,PEDRO LUIS MARTINEZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.4018783569336,-70.1489601135254,450 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004141,Sin Visita,Elegible,18.4018783569336,-70.1489601135254,18.4018783569336-70.1489601135254,ELEGIBLE,NO,S,S1,HTNVO101,HATO NUEVO,HTNVO101-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000034911,,1.0,ARILEYSIS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000169350,169350,PIZZA HUT SAN CRISTOBAL,AV CONSTITUCION CENTRO CIUDAD SC,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,450,PEDRO LUIS MARTINEZ,PEDRO LUIS MARTINEZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.41812,-70.1123,450 SAN CRISTOBAL,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169010277,Sin Visita,Elegible,18.41812,-70.1123,18.41812-70.1123,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000169350,,1.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000034730,34730,COL. COMERCIAL MARIÑEZ,C/ 6 DE NOVIEMBRE Ñ 42,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,444,FAUSTO BRITO,FAUSTO BRITO,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.40182495,-70.10696411,444 SAN CRISTOBAL,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169005896,Ultima Aprobada,Elegible,18.40192216,-70.10694916,18.40192216-70.10694916,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,2.0,Día 2,,,SUPLENTE,9000034730,,2.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000034900,34900,COLMADO JOELVIN,"C/ PRINCIPAL Ñ 64, QUEMA CRETA",JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,447,JUAN DE LOS SANTOS,JUAN DE LOS SANTOS,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.3693227767944,-70.1676216125488,447 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004134,Ultima Aprobada,Elegible,18.3693698,-70.1676236,18.3693698-70.1676236,ELEGIBLE,NO,S,S1,HTNVO101,HATO NUEVO,HTNVO101-HATO NUEVO,2.0,Día 2,,,SUPLENTE,9000034900,,2.0,ARILEYSIS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000036721,36721,PARAISO DOÑA SANTA,"C/ INGENIO NUEVO ENTRANDO LA CONGA, S.C.",JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,450,PEDRO LUIS MARTINEZ,PEDRO LUIS MARTINEZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.40462875,-70.12046814,450 SAN CRISTOBAL,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004734,Sin Visita,Elegible,18.40462875,-70.12046814,18.40462875-70.12046814,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000036721,,1.0,ARILEYSIS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000149524,149524,PAPPATERRA MONTOLIO,AUT 6 DE NOVIEMBRE KM 24 FRENTE MEGA BLOCK,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,MADRE VIEJA DEL NORTE,TRADICIONAL,449,CECILIO RODRIGUEZ CORPORAN,CECILIO RODRIGUEZ CORPORAN,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.4313278,-70.1068573,449 SAN CRISTOBAL,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169005444,Sin Visita,Elegible,18.4313278,-70.1068573,18.4313278-70.1068573,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000149524,,1.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000035235,35235,COL. ROSIMAR,calle alejo campusano . madre vieja sur,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,445,JOSE ALVAREZ,JOSE ALVAREZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.409810702006,-70.1027119954427,445 SAN CRISTOBAL,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004271,Sin Visita,Elegible,18.409810702006,-70.1027119954427,18.409810702006-70.1027119954427,ELEGIBLE,NO,S,S1,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,3.0,Día 3,,,SUPLENTE,9000035235,,3.0,ARILEYSIS,Cargar
