CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000034609,34609,PASTELERIA CHICHITA_SRL_,C/ GRAL. LEGER Ñ58,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,446,RANDY DELGADO,RANDY DELGADO,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.41542,-70.1079,446 SAN CRISTOBAL,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169005824,Ultima Aprobada,Elegible,18.4168697,-70.1095874,18.4168697-70.1095874,ELEGIBLE,NO,T,T,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,3.0,Día 3,45.0,0.0,TITULAR,9000034609,,3.0,ARILEYSIS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000034709,34709,POLLO D FELO EXPRES,AV. LIBERTAD Ñ 12,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,445,JOSE ALVAREZ,JOSE ALVAREZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.4156670570374,-70.1070613861084,445 SAN CRISTOBAL,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169005882,Ultima Aprobada,Elegible,18.41530726756901,-70.10698311030865,18.415307267569-70.1069831103086,ELEGIBLE,NO,T,T,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,3.0,Día 3,42.0,0.0,TITULAR,9000034709,,3.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000034795,34795,COL. JHONNYFER,C PADRE AYALA,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,446,RANDY DELGADO,RANDY DELGADO,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.4152988433838,-70.1092269897461,446 SAN CRISTOBAL,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169005935,Ultima Aprobada,Elegible,18.41556132305413,-70.10938092134893,18.4155613230541-70.1093809213489,ELEGIBLE,NO,T,T,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,3.0,Día 3,43.0,0.0,TITULAR,9000034795,,3.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000034847,34847,COL. GUANCHO,C/ FRANCISCO DESPRADEL Ñ 10,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,469,YUNIOR ARMANDO SANCHEZ ABREU,YUNIOR ARMANDO SANCHEZ ABREU,KELVIN ABAD SC,KELVIN ABAD SC,18.4042159489223,-70.1150970458984,469 SAN CRISTOBAL,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1162007107,Ultima Aprobada,Elegible,18.4042259,-70.11513292,18.4042259-70.11513292,ELEGIBLE,NO,T,T,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,2.0,Día 2,35.0,0.0,TITULAR,9000034847,,2.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,Plata,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000034932,34932,SUPER COLMADO EL PROGRESO,C/ PRIMERA  KM4 CAMBITA,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DEL PUEBLO,TRADICIONAL,449,CECILIO RODRIGUEZ CORPORAN,CECILIO RODRIGUEZ CORPORAN,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.4073176383972,-70.139554977417,449 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004154,Ultima Aprobada,Elegible,18.40738981,-70.13957728,18.40738981-70.13957728,ELEGIBLE,NO,T,T,HTNVO101,HATO NUEVO,HTNVO101-HATO NUEVO,1.0,Día 1,10.0,0.0,TITULAR,9000034932,,1.0,ARILEYSIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000035674,35674,COL. SANDY III,"C/LEGER, N0.59 CENTRO DE LA CIUDAD, S.C.",JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,446,RANDY DELGADO,RANDY DELGADO,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.4172871112823,-70.1098232269287,446 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004448,Ultima Aprobada,Elegible,18.41731681,-70.10977579,18.41731681-70.10977579,ELEGIBLE,NO,T,T PANEL,HTNVO101,HATO NUEVO,HTNVO101-HATO NUEVO,3.0,Día 3,46.0,0.0,TITULAR,9000035674,,3.0,ARILEYSIS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000035684,35684,COL. COMERCIAL ERNESTO,CALLE PRIMERA 3  ZONA VERDE CENTRO,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,445,JOSE ALVAREZ,JOSE ALVAREZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.4164368311564,-70.1065457661947,445 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004452,Ultima Aprobada,Elegible,18.41643532,-70.10654294,18.41643532-70.10654294,ELEGIBLE,NO,T,T PANEL,HTNVO101,HATO NUEVO,HTNVO101-HATO NUEVO,3.0,Día 3,41.0,0.0,TITULAR,9000035684,,3.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000036036,36036,COL BADEGA RIVERA,CALLE ANGOMA 10 VILLA MERCEDES,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,445,JOSE ALVAREZ,JOSE ALVAREZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.40673828125,-70.1032810211182,445 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004558,Sin Visita,Elegible,18.40673828125,-70.1032810211182,18.40673828125-70.1032810211182,ELEGIBLE,NO,T,T,HTNVO101,HATO NUEVO,HTNVO101-HATO NUEVO,3.0,Día 3,38.0,0.0,TITULAR,9000036036,,3.0,ARILEYSIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000060858,60858,ESFUERZO SUPER FRIAS,CALLE INGENIO NUEVO,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,447,JUAN DE LOS SANTOS,JUAN DE LOS SANTOS,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.3729842503866,-70.1505940755208,447 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169004935,Sin Visita,Elegible,18.3729842503866,-70.1505940755208,18.3729842503866-70.1505940755208,ELEGIBLE,NO,T,T,HTNVO101,HATO NUEVO,HTNVO101-HATO NUEVO,2.0,Día 2,20.0,0.0,TITULAR,9000060858,,2.0,ARILEYSIS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SAN CRISTOBAL,ZONA OCCIDENTAL  Y SC,9000162923,162923,DOMINOS PIZZA SAN CRISTOBAL,AV CONSTITUCION,JUAN PAULINO,SAN CRISTÓBAL,SAN CRISTÓBAL,CENTRO DE LA CIUDAD,TRADICIONAL,445,JOSE ALVAREZ,JOSE ALVAREZ,KELVIN ABAD PLACENCIO HN,KELVIN ABAD PLACENCIO HN,18.41516,-70.10999,445 SAN CRISTOBAL,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007040,Sin Visita,Elegible,18.41516,-70.10999,18.41516-70.10999,ELEGIBLE,NO,T,T,HTNVO101,SAN CRISTOBAL,HTNVO101-HATO NUEVO,3.0,Día 3,44.0,0.0,TITULAR,9000162923,,3.0,ARILEYSIS,Cargar
