CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000011672,11672,COLMADO. KEY,CARR. LA VICTORIA NO.122 VILLA MELLA,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,VILLA MELLA,TRADICIONAL,363,ELIEZER DEL VILLAR,ELIEZER DEL VILLAR,FABIEL PEÑA,FABIEL PEÑA,18.5542619493273,-69.8985917833116,363 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153003219,Ultima Aprobada,Elegible,18.5542901,-69.8985926,18.5542901-69.8985926,ELEGIBLE,NO,S,S1,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,,,SUPLENTE,9000011672,,2.0,JEAN LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000011687,11687,COLMADO LOS PAPUCHOS,"C/ JOSE DE LA CRUZ #21 GENOBEBA, VILLA MELLA.",JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,VILLA MELLA,TRADICIONAL,363,ELIEZER DEL VILLAR,ELIEZER DEL VILLAR,FABIEL PEÑA,FABIEL PEÑA,18.5582086775038,-69.8957146538629,363 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153003236,Ultima Aprobada,Elegible,18.55824,-69.89569499999999,18.55824-69.895695,ELEGIBLE,NO,S,S1,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,,,SUPLENTE,9000011687,,2.0,JEAN LUIS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000167173,167173,PERICO RIPIAO SERVICIOS,AV CHARLES DE GAULLE NO 1 SABANA PERDIDA SANTO DOMINGO NORTE,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SABANA PERDIDA,C&B,402,YORKIS OLIVARES,YORKIS OLIVARES,CHRISTOPHER GONZALEZ,CHRISTOPHER GONZALEZ,18.5470906,-69.8832262,402 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153028023,Sin Visita,Elegible,18.5470906,-69.8832262,18.5470906-69.8832262,ELEGIBLE,NO,S,S1,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,1.0,Día 1,,,SUPLENTE,9000167173,,1.0,JEAN LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000083886,83886,COLMADO BARAHONA,C 1RA N10 VILLA NUEVA VILLA MELLA,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,VILLA MELLA,TRADICIONAL,406,ONATI TRONCOSO,ONATI TRONCOSO,FABIEL PEÑA,FABIEL PEÑA,18.5470533370972,-69.8955421447754,406 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153014641,Ultima Aprobada,Elegible,18.5470921,-69.8955511,18.5470921-69.8955511,ELEGIBLE,NO,S,S1,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,1.0,Día 1,,,SUPLENTE,9000083886,,1.0,JEAN LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000013024,13024,COLMADO DANIEL,C/MARIA DE TOLEDO # 1,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO ESTE CENTRO,TRADICIONAL,316,LUIS GONZALEZ,LUIS GONZALEZ,FABIEL PEÑA,FABIEL PEÑA,18.5386034647624,-69.860471089681,316 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153006066,Ultima Aprobada,Elegible,18.5383331,-69.8606114,18.5383331-69.8606114,ELEGIBLE,NO,S,S1,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,3.0,Día 3,,,SUPLENTE,9000013024,,3.0,JEAN LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000014556,14556,COLMADO PEGUERO II,MANZANA 36,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO ESTE CENTRO,TRADICIONAL,322,EUGENIO PEREZ,EUGENIO PEREZ,FABIEL PEÑA,FABIEL PEÑA,18.5437567234039,-69.9077663421631,322 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153008638,Ultima Aprobada,Elegible,18.54378684817531,-69.9078211796313,18.5437868481753-69.9078211796313,ELEGIBLE,NO,S,S1,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,1.0,Día 1,,,SUPLENTE,9000014556,,1.0,JEAN LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000072178,72178,COLMADO AMARLLO,SAN MIGUEL ESQ SAN RAMON,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO NORTE (CENTRO),TRADICIONAL,363,ELIEZER DEL VILLAR,ELIEZER DEL VILLAR,FABIEL PEÑA,FABIEL PEÑA,18.5657424927,-69.8933029175,363 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1153012543,Ultima Aprobada,Elegible,18.56575833333333,-69.89328666666667,18.5657583333333-69.8932866666667,ELEGIBLE,NO,S,S1,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,,,SUPLENTE,9000072178,,2.0,JEAN LUIS,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000092709,92709,MINI MARKET JOEL,DARADO 111 MANZ B,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO NORTE (CENTRO),TRADICIONAL,322,EUGENIO PEREZ,EUGENIO PEREZ,FABIEL PEÑA,FABIEL PEÑA,18.5520702997843,-69.9235420227051,322 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1153017141,Ultima Aprobada,Elegible,18.55207836101252,-69.92352267102211,18.5520783610125-69.9235226710221,ELEGIBLE,NO,S,S1,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,1.0,Día 1,,,SUPLENTE,9000092709,,1.0,JEAN LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000093715,93715,COL EL BOBASO,CARRETERA PRINCIPAL GUANUMA,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,VILLA MELLA,TRADICIONAL,324,HELDER SUERO,HELDER SUERO,FABIEL PEÑA,FABIEL PEÑA,18.6955432891846,-69.9245834350586,324 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1153016716,Sin Visita,Elegible,18.6955432891846,-69.9245834350586,18.6955432891846-69.9245834350586,ELEGIBLE,NO,S,S1,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,1.0,Día 1,,,SUPLENTE,9000093715,,1.0,JEAN LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,CHARLES DE GAULLE,ZONA SD ORIENTAL,9000150587,150587,COLMADO PEÑA,PRINCIPAL BRAULIA DE PAULA ENTRE LOS CASABES Y JACAGUA STO DGO NORTE,JUNIOR RIVERA,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO NORTE (CENTRO),TRADICIONAL,325,STARLIN ENCARNACION,STARLIN ENCARNACION,FABIEL PEÑA,FABIEL PEÑA,18.5601111,-69.9514646,325 CHARLES DE GAULLE,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1153026764,Sin Visita,Elegible,18.5601111,-69.9514646,18.5601111-69.9514646,ELEGIBLE,NO,S,S1,CHLES103,CHARLES DE GAULLE,CHLES103-CHARLES DE GAULLE,2.0,Día 2,,,SUPLENTE,9000150587,,2.0,JEAN LUIS,Cargar
