CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,Plata,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000008351,8351,MINI MARKET R. GONZALEZ,LUIS AMIAMA TIO,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,VIEJO ARROYO HONDO,TRADICIONAL,382,FRANCISCO JAVIER GOMEZ SANTIAGO,FRANCISCO JAVIER GOMEZ SANTIAGO,MICHAEL SOSA HN,MICHAEL SOSA HN,18.50074577,-69.94287109,382 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169006280,Ultima Aprobada,Elegible,18.50060348,-69.9431109,18.50060348-69.9431109,ELEGIBLE,NO,S,S PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,,,SUPLENTE,9000008351,,2.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000184,184,BODEGA MONTE RIO,DR DEFILLO ESQ EDUARDO VICIOSO BELLA VISTA STO DGO DN,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,BELLA VISTA,TRADICIONAL,418,ESFRAILYN GALVEZ BAUTISTA,ESFRAILYN GALVEZ BAUTISTA,JUAN BATISTA,JUAN BATISTA,18.4529304504395,-69.9458770751953,418 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150000530,Ultima Aprobada,Elegible,18.45284166666666,-69.945775,18.4528416666667-69.945775,ELEGIBLE,NO,S,S1,DSTRIO104,SANTO DOMINGO,DSTRIO104-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000000184,,1.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000296,296,SUPER COL MELO PIMENTEL,LIC JOSE TAPIA BREA ENS QUISQUEYA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,QUISQUEYA,TRADICIONAL,319,WANNER DE JESUS CASTILLO VICENTE,WANNER DE JESUS CASTILLO VICENTE,RAMON CUELLO HN,RAMON CUELLO HN,18.4634006500244,-69.9462661743164,319 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169009400,Ultima Aprobada,Elegible,18.46342992,-69.94628549,18.46342992-69.94628549,ELEGIBLE,NO,S,S1,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000000296,,1.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000314,314,COLMADO SAN MIGUEL,DR. DEFILLO # 50. LOS PRADITOS,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,LOS PRADITOS,TRADICIONAL,317,FREYMI JOSE CASTRO PEREZ,FREYMI JOSE CASTRO PEREZ,RAMON CUELLO HN,RAMON CUELLO HN,18.4727430343628,-69.9526653289795,317 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169009404,Ultima Aprobada,Elegible,18.4727512,-69.9526383,18.4727512-69.9526383,ELEGIBLE,NO,S,S1,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000000314,,1.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000008356,8356,COLMADO VANESSA,DOCTORES MALLEN,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,VIEJO ARROYO HONDO,TRADICIONAL,382,FRANCISCO JAVIER GOMEZ SANTIAGO,FRANCISCO JAVIER GOMEZ SANTIAGO,MICHAEL SOSA HN,MICHAEL SOSA HN,18.48583984375,-69.9403915405273,382 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169006282,Ultima Aprobada,Elegible,18.4851653,-69.94082395,18.4851653-69.94082395,ELEGIBLE,NO,S,S1,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,,,SUPLENTE,9000008356,,2.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000001746,1746,MINI MARKET LA SALVACION DEL PUEBLO,GUACANAGARIX  MANGANAGUA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,306,ANIBAL PUELLO,ANIBAL PUELLO,RAMON CUELLO HN,RAMON CUELLO HN,18.45266,-69.96645,306 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169009478,Ultima Aprobada,Elegible,18.452864,-69.96635,18.452864-69.96635,ELEGIBLE,NO,S,S1,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,,,SUPLENTE,9000001746,,2.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000306,306,COLMADO MARIA,MAX HENRIQUE UREÑA QUISQUEYA STO DGO DN,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,QUISQUEYA,TRADICIONAL,319,WANNER DE JESUS CASTILLO VICENTE,WANNER DE JESUS CASTILLO VICENTE,RAMON CUELLO HN,RAMON CUELLO HN,18.4678916931152,-69.9472579956055,319 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008178,Ultima Aprobada,Elegible,18.8084412,-71.2471793,18.8084412-71.2471793,ELEGIBLE,NO,S,S1,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000000306,,1.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000328,328,COLMADO ANGEL,"C/ GAVINO ROMERO MANZ. # 12 , MANGUITO",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,MATA HAMBRE,TRADICIONAL,418,ESFRAILYN GALVEZ BAUTISTA,ESFRAILYN GALVEZ BAUTISTA,JUAN BATISTA,JUAN BATISTA,18.4567604064941,-69.9301834106445,418 SANTO DOMINGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150001404,Ultima Aprobada,Elegible,18.45682773,-69.93052293,18.45682773-69.93052293,ELEGIBLE,NO,S,S1,DSTRIO104,SANTO DOMINGO,DSTRIO104-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000000328,,1.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000948,948,SUPER BODEGA PAOLA,C/ ESTANCIA NUEVA # 67 LAS PRADERAS,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,LAS PRADERAS,TRADICIONAL,317,FREYMI JOSE CASTRO PEREZ,FREYMI JOSE CASTRO PEREZ,RAMON CUELLO HN,RAMON CUELLO HN,18.4704780578613,-69.9639129638672,317 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008081,Sin Visita,Elegible,18.4704780578613,-69.9639129638672,18.4704780578613-69.9639129638672,ELEGIBLE,NO,S,S1,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000000948,,1.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000072344,72344,BODEGA LA ECONOMIA,BUENAVENTURA FREITES,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,JARDINES DEL SUR,TRADICIONAL,382,FRANCISCO JAVIER GOMEZ SANTIAGO,FRANCISCO JAVIER GOMEZ SANTIAGO,MICHAEL SOSA HN,MICHAEL SOSA HN,18.4867134094238,-69.9627914428711,382 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169006932,Ultima Aprobada,Elegible,18.48703666666666,-69.96293333333332,18.4870366666667-69.9629333333333,ELEGIBLE,NO,S,S1,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,,,SUPLENTE,9000072344,,2.0,JENIFER GÓMEZ,Cargar
