CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000003492,3492,SUPER BODEGA ROSMERY,"C/18 ESQ. MAX ENRIQUEZ UREÑA , ENS. QUISQUEYA",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,QUISQUEYA,TRADICIONAL,319,WANNER DE JESUS CASTILLO VICENTE,WANNER DE JESUS CASTILLO VICENTE,RAMON CUELLO HN,RAMON CUELLO HN,18.4676532745361,-69.9478569030762,319 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008021,Ultima Aprobada,Elegible,18.4677164,-69.9478698,18.4677164-69.9478698,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,2.0,0.0,TITULAR,9000003492,,1.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000119,119,BODEGA NACO,SIERVAS DE MARIA NACO STO DGO DN,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,ENSANCHE NACO,TRADICIONAL,332,WELLINTON YSRAEL CASANOVA MONTERO,WELLINTON YSRAEL CASANOVA MONTERO,RAMON CUELLO HN,RAMON CUELLO HN,18.48108101,-69.93009186,332 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169009394,Ultima Aprobada,Elegible,18.48110291,-69.93012989,18.48110291-69.93012989,ELEGIBLE,NO,T,T,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,3.0,Día 3,31.0,0.0,TITULAR,9000000119,,3.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000170,170,COLMADO RAMON MELO II,PRESA RIO BAO # 35 EL MILLON,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,EL MILLÓN,TRADICIONAL,317,FREYMI JOSE CASTRO PEREZ,FREYMI JOSE CASTRO PEREZ,RAMON CUELLO HN,RAMON CUELLO HN,18.45808,-69.961,317 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007449,Sin Visita Efectiva,Elegible,18.45808,-69.961,18.45808-69.961,ELEGIBLE,NO,T,T,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,21.0,0.0,TITULAR,9000000170,,2.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000180,180,SUPER BODEGA PERDOMO,GASPAR POLANCO # 96 BELLA VISTA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,BELLA VISTA,TRADICIONAL,418,ESFRAILYN GALVEZ BAUTISTA,ESFRAILYN GALVEZ BAUTISTA,JUAN BATISTA,JUAN BATISTA,18.4582966698541,-69.9424396091037,418 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150000525,Ultima Aprobada,Elegible,18.45831673,-69.94244043,18.45831673-69.94244043,ELEGIBLE,NO,T,T PANEL,DSTRIO104,SANTO DOMINGO,DSTRIO104-HATO NUEVO,3.0,Día 3,36.0,0.0,TITULAR,9000000180,,3.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000189,189,SUPER COLMADO ANTHONY,"C/LEONOR FELTZ ESQ. #6, MIRADOR SUR.",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,306,ANIBAL PUELLO,ANIBAL PUELLO,RAMON CUELLO HN,RAMON CUELLO HN,18.4455528259277,-69.9574279785156,306 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007452,Ultima Aprobada,Elegible,18.44555089,-69.95745744,18.44555089-69.95745744,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,15.0,0.0,TITULAR,9000000189,,2.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000739,739,COL. CAMPO,C/ CAMINO CHIQUITO ARROYO HONDO,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,382,FRANCISCO JAVIER GOMEZ SANTIAGO,FRANCISCO JAVIER GOMEZ SANTIAGO,MICHAEL SOSA HN,MICHAEL SOSA HN,18.498312,-69.94093323,382 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169006554,Ultima Aprobada,Elegible,18.49833492,-69.94094921,18.49833492-69.94094921,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,3.0,Día 3,42.0,0.0,TITULAR,9000000739,,3.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000747,747,COLMADO NAVIDAD,AV REP DE COLOMBIA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,LOS JARDINES,TRADICIONAL,382,FRANCISCO JAVIER GOMEZ SANTIAGO,FRANCISCO JAVIER GOMEZ SANTIAGO,MICHAEL SOSA HN,MICHAEL SOSA HN,18.48668671,-69.95992279,382 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169006911,Ultima Aprobada,Elegible,18.4867186,-69.9599041,18.4867186-69.9599041,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,3.0,Día 3,26.0,0.0,TITULAR,9000000747,,3.0,JENIFER GÓMEZ,Cargar
SI,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000006118,6118,PICA POLLO EXPRESO LOS JARDINES,AV. BUENA VENTURA FREITES # 8 LOS JARDINES NORTE,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,382,FRANCISCO JAVIER GOMEZ SANTIAGO,FRANCISCO JAVIER GOMEZ SANTIAGO,MICHAEL SOSA HN,MICHAEL SOSA HN,18.4824295043945,-69.9556121826172,382 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169006926,Ultima Aprobada,Elegible,18.4825902,-69.9555697,18.4825902-69.9555697,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,24.0,0.0,TITULAR,9000006118,,2.0,JENIFER GÓMEZ,Cargar
SI,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000098206,98206,COMEDOR NUEVO MILENIO,CARMEN MENDOZA DE CORNIEL,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,EL MILLÓN,TRADICIONAL,317,FREYMI JOSE CASTRO PEREZ,FREYMI JOSE CASTRO PEREZ,RAMON CUELLO HN,RAMON CUELLO HN,18.46559,-69.95266,317 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008604,Ultima Aprobada,Elegible,18.46572375,-69.95258213,18.46572375-69.95258213,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,6.0,0.0,TITULAR,9000098206,,1.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000006358,6358,COLMADO Y FERRETERIA LA PLACITA,"C/ JOSE TAPIA BREA NO. 183 ENS, QUISQUEYA",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,QUISQUEYA,TRADICIONAL,319,WANNER DE JESUS CASTILLO VICENTE,WANNER DE JESUS CASTILLO VICENTE,RAMON CUELLO HN,RAMON CUELLO HN,18.46755219,-69.94786835,319 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007784,Ultima Aprobada,Elegible,18.46761436,-69.94786586,18.46761436-69.94786586,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,1.0,1.0,TITULAR,9000006358,,1.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000191,191,AUTOSERVICIO ELUPINA,AV. ROMULO BETANCOURT # 1756 MIRADOR SUR,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,306,ANIBAL PUELLO,ANIBAL PUELLO,RAMON CUELLO HN,RAMON CUELLO HN,18.4493,-69.9568,306 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007453,Ultima Aprobada,Elegible,18.44924629,-69.95675039,18.44924629-69.95675039,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,14.0,0.0,TITULAR,9000000191,,2.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000256,256,SUPER COLMADO BAEZ,CAÑA DULCE NO.22 SECTOR EL MILLON,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,EL MILLÓN,TRADICIONAL,317,FREYMI JOSE CASTRO PEREZ,FREYMI JOSE CASTRO PEREZ,RAMON CUELLO HN,RAMON CUELLO HN,18.4639490842819,-69.9549355506897,317 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008165,Sin Visita,Elegible,18.4639490842819,-69.9549355506897,18.4639490842819-69.9549355506897,ELEGIBLE,NO,T,T,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,7.0,0.0,TITULAR,9000000256,,1.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000001432,1432,BODEGA TIRADENTES,AV TIRADENTES  NACO,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,ENSANCHE NACO,TRADICIONAL,332,WELLINTON YSRAEL CASANOVA MONTERO,WELLINTON YSRAEL CASANOVA MONTERO,RAMON CUELLO HN,RAMON CUELLO HN,18.47439194,-69.9262619,332 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169009467,Ultima Aprobada,Elegible,18.47429528,-69.92631574,18.47429528-69.92631574,ELEGIBLE,NO,T,T,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,3.0,Día 3,33.0,0.0,TITULAR,9000001432,,3.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000004181,4181,CLARET SUPER MARKET,"C/ EUCLIDES MORILLO #141, ENS. CLARET",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,382,FRANCISCO JAVIER GOMEZ SANTIAGO,FRANCISCO JAVIER GOMEZ SANTIAGO,MICHAEL SOSA HN,MICHAEL SOSA HN,18.4870031256425,-69.9450888382761,382 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169006269,Ultima Aprobada,Elegible,18.4856138,-69.9443494,18.4856138-69.9443494,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,3.0,Día 3,28.0,0.0,TITULAR,9000004181,,3.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000004320,4320,SUPER COLMADO SARASOTA I,AV SARASOTA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,BELLA VISTA,TRADICIONAL,418,ESFRAILYN GALVEZ BAUTISTA,ESFRAILYN GALVEZ BAUTISTA,JUAN BATISTA,JUAN BATISTA,18.44979,-69.95045,418 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150004333,Ultima Aprobada,Elegible,18.4498245,-69.9504767,18.4498245-69.9504767,ELEGIBLE,NO,T,T PANEL,DSTRIO104,SANTO DOMINGO,DSTRIO104-HATO NUEVO,2.0,Día 2,13.0,0.0,TITULAR,9000004320,,2.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000307,307,SUPER BODEGA P R,307 JOSE BREA PEÑA  127 ENS QUISQUEYA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,QUISQUEYA,TRADICIONAL,319,WANNER DE JESUS CASTILLO VICENTE,WANNER DE JESUS CASTILLO VICENTE,RAMON CUELLO HN,RAMON CUELLO HN,18.46724319,-69.94709015,319 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008179,Ultima Aprobada,Elegible,18.4672391,-69.9470233,18.4672391-69.9470233,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,3.0,0.0,TITULAR,9000000307,,1.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000001478,1478,SUPER BODEGA PIANTINI,C/FRANCISCO PRATS RAMIREZ,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,PIANTINI,TRADICIONAL,332,WELLINTON YSRAEL CASANOVA MONTERO,WELLINTON YSRAEL CASANOVA MONTERO,RAMON CUELLO HN,RAMON CUELLO HN,18.46575165,-69.934021,332 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007911,Ultima Aprobada,Elegible,18.46580241,-69.93414555,18.46580241-69.93414555,ELEGIBLE,NO,T,T,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,3.0,Día 3,34.0,0.0,TITULAR,9000001478,,3.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000002912,2912,DELIMARKET YERIMAR,AV. ENRIQUILLO NO.3 ESQ. PRIVADA LOS ALCARIZOS,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,306,ANIBAL PUELLO,ANIBAL PUELLO,RAMON CUELLO HN,RAMON CUELLO HN,18.4458923339844,-69.9608535766602,306 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007993,Ultima Aprobada,Elegible,18.4467626,-69.9619197,18.4467626-69.9619197,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,16.0,0.0,TITULAR,9000002912,,2.0,JENIFER GÓMEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000004248,4248,COLMADO HNOS MELO,C/ FELIX MOTA # 55 LOS PRADOS,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,LOS PRADOS,TRADICIONAL,317,FREYMI JOSE CASTRO PEREZ,FREYMI JOSE CASTRO PEREZ,RAMON CUELLO HN,RAMON CUELLO HN,18.4795398712158,-69.9592819213867,317 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169009536,Sin Visita,Elegible,18.4795398712158,-69.9592819213867,18.4795398712158-69.9592819213867,ELEGIBLE,NO,T,T,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,23.0,0.0,TITULAR,9000004248,,2.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000004779,4779,MINI MARKET NAUT,AV. SARASOTA EDIF.  NADI  BELLA VISTA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,BELLA VISTA,TRADICIONAL,418,ESFRAILYN GALVEZ BAUTISTA,ESFRAILYN GALVEZ BAUTISTA,JUAN BATISTA,JUAN BATISTA,18.4571533203125,-69.935417175293,418 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150004590,Ultima Aprobada,Elegible,18.4573141,-69.9355015,18.4573141-69.9355015,ELEGIBLE,NO,T,T PANEL,DSTRIO104,SANTO DOMINGO,DSTRIO104-HATO NUEVO,3.0,Día 3,35.0,0.0,TITULAR,9000004779,,3.0,JENIFER GÓMEZ,Cargar
