CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000003492,3492,SUPER BODEGA ROSMERY,"C/18 ESQ. MAX ENRIQUEZ UREÑA , ENS. QUISQUEYA",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,QUISQUEYA,TRADICIONAL,319,WANNER DE JESUS CASTILLO VICENTE,WANNER DE JESUS CASTILLO VICENTE,RAMON CUELLO HN,RAMON CUELLO HN,18.4676532745361,-69.9478569030762,319 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008021,Ultima Aprobada,Elegible,18.4677164,-69.9478698,18.4677164-69.9478698,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,2.0,0.0,TITULAR,9000003492,,1.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000180,180,SUPER BODEGA PERDOMO,GASPAR POLANCO # 96 BELLA VISTA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,BELLA VISTA,TRADICIONAL,418,ESFRAILYN GALVEZ BAUTISTA,ESFRAILYN GALVEZ BAUTISTA,JUAN BATISTA,JUAN BATISTA,18.4582966698541,-69.9424396091037,418 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150000525,Ultima Aprobada,Elegible,18.45831673,-69.94244043,18.45831673-69.94244043,ELEGIBLE,NO,T,T PANEL,DSTRIO104,SANTO DOMINGO,DSTRIO104-HATO NUEVO,3.0,Día 3,36.0,0.0,TITULAR,9000000180,,3.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000189,189,SUPER COLMADO ANTHONY,"C/LEONOR FELTZ ESQ. #6, MIRADOR SUR.",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,306,ANIBAL PUELLO,ANIBAL PUELLO,RAMON CUELLO HN,RAMON CUELLO HN,18.4455528259277,-69.9574279785156,306 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007452,Ultima Aprobada,Elegible,18.44555089,-69.95745744,18.44555089-69.95745744,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,15.0,0.0,TITULAR,9000000189,,2.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000739,739,COL. CAMPO,C/ CAMINO CHIQUITO ARROYO HONDO,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,382,FRANCISCO JAVIER GOMEZ SANTIAGO,FRANCISCO JAVIER GOMEZ SANTIAGO,MICHAEL SOSA HN,MICHAEL SOSA HN,18.498312,-69.94093323,382 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169006554,Ultima Aprobada,Elegible,18.49833492,-69.94094921,18.49833492-69.94094921,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,3.0,Día 3,42.0,0.0,TITULAR,9000000739,,3.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000747,747,COLMADO NAVIDAD,AV REP DE COLOMBIA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,LOS JARDINES,TRADICIONAL,382,FRANCISCO JAVIER GOMEZ SANTIAGO,FRANCISCO JAVIER GOMEZ SANTIAGO,MICHAEL SOSA HN,MICHAEL SOSA HN,18.48668671,-69.95992279,382 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169006911,Ultima Aprobada,Elegible,18.4867186,-69.9599041,18.4867186-69.9599041,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,3.0,Día 3,26.0,0.0,TITULAR,9000000747,,3.0,JENIFER GÓMEZ,Cargar
SI,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000006118,6118,PICA POLLO EXPRESO LOS JARDINES,AV. BUENA VENTURA FREITES # 8 LOS JARDINES NORTE,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,382,FRANCISCO JAVIER GOMEZ SANTIAGO,FRANCISCO JAVIER GOMEZ SANTIAGO,MICHAEL SOSA HN,MICHAEL SOSA HN,18.4824295043945,-69.9556121826172,382 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169006926,Ultima Aprobada,Elegible,18.4825902,-69.9555697,18.4825902-69.9555697,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,24.0,0.0,TITULAR,9000006118,,2.0,JENIFER GÓMEZ,Cargar
SI,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000098206,98206,COMEDOR NUEVO MILENIO,CARMEN MENDOZA DE CORNIEL,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,EL MILLÓN,TRADICIONAL,317,FREYMI JOSE CASTRO PEREZ,FREYMI JOSE CASTRO PEREZ,RAMON CUELLO HN,RAMON CUELLO HN,18.46559,-69.95266,317 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008604,Ultima Aprobada,Elegible,18.46572375,-69.95258213,18.46572375-69.95258213,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,6.0,0.0,TITULAR,9000098206,,1.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000006358,6358,COLMADO Y FERRETERIA LA PLACITA,"C/ JOSE TAPIA BREA NO. 183 ENS, QUISQUEYA",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,QUISQUEYA,TRADICIONAL,319,WANNER DE JESUS CASTILLO VICENTE,WANNER DE JESUS CASTILLO VICENTE,RAMON CUELLO HN,RAMON CUELLO HN,18.46755219,-69.94786835,319 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007784,Ultima Aprobada,Elegible,18.46761436,-69.94786586,18.46761436-69.94786586,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,1.0,Día 1,1.0,1.0,TITULAR,9000006358,,1.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000191,191,AUTOSERVICIO ELUPINA,AV. ROMULO BETANCOURT # 1756 MIRADOR SUR,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,306,ANIBAL PUELLO,ANIBAL PUELLO,RAMON CUELLO HN,RAMON CUELLO HN,18.4493,-69.9568,306 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007453,Ultima Aprobada,Elegible,18.44924629,-69.95675039,18.44924629-69.95675039,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,2.0,Día 2,14.0,0.0,TITULAR,9000000191,,2.0,JENIFER GÓMEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000004181,4181,CLARET SUPER MARKET,"C/ EUCLIDES MORILLO #141, ENS. CLARET",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,382,FRANCISCO JAVIER GOMEZ SANTIAGO,FRANCISCO JAVIER GOMEZ SANTIAGO,MICHAEL SOSA HN,MICHAEL SOSA HN,18.4870031256425,-69.9450888382761,382 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169006269,Ultima Aprobada,Elegible,18.4856138,-69.9443494,18.4856138-69.9443494,ELEGIBLE,NO,T,T PANEL,DSTRIO104,HATO NUEVO,DSTRIO104-HATO NUEVO,3.0,Día 3,28.0,0.0,TITULAR,9000004181,,3.0,JENIFER GÓMEZ,Cargar
