CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000826,826,COLMADO  E Y M,C/ 13 # 68 27 DE FEBRERO,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,27 DE FEBRERO,TRADICIONAL,394,LUIS BREA JIMENEZ,LUIS BREA JIMENEZ,DANIEL BATISTA,DANIEL BATISTA,18.50125,-69.8852,394 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1150002943,Ultima Aprobada,Elegible,18.50142333333333,-69.88513166666667,18.5014233333333-69.8851316666667,ELEGIBLE,NO,S,S1,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,3.0,Día 3,,,SUPLENTE,9000000826,,3.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000833,833,COL ESTARLYN,EDUARDO BRITO # 25 (27 DE FEBRERO),JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,394,LUIS BREA JIMENEZ,LUIS BREA JIMENEZ,DANIEL BATISTA,DANIEL BATISTA,18.5025,-69.885,394 SANTO DOMINGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150002951,Ultima Aprobada,Elegible,18.50237302,-69.88507051,18.50237302-69.88507051,ELEGIBLE,NO,S,S1,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,3.0,Día 3,,,SUPLENTE,9000000833,,3.0,JEYSON VALDEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000006092,6092,EXPRESSO GUANGWEI LIU,"PADRO LIVIO CEDEÑO ESQ. MANUEL FLORES ENS, LA FE",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,421,SMAYLI RAMON RODRIGUEZ QUEZADA,SMAYLI RAMON RODRIGUEZ QUEZADA,RAMON CUELLO HN,RAMON CUELLO HN,18.4934024810791,-69.9286499023438,421 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007758,Ultima Aprobada,Elegible,18.49340404,-69.92887567,18.49340404-69.92887567,ELEGIBLE,NO,S,S1,DSTRTO105,HATO NUEVO,DSTRTO105-HATO NUEVO,2.0,Día 2,,,SUPLENTE,9000006092,,2.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000810,810,COLMADO MANUELCITO,C/FEDERICO VELASQUEZ NO. 18 ENS. MARIA AUXILIADORA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,MARÍA AUXILIADORA,TRADICIONAL,313,VICTOR GABRIEL MORA CIRIACO,VICTOR GABRIEL MORA CIRIACO,DANIEL BATISTA,DANIEL BATISTA,18.49496,-69.8882,313 SANTO DOMINGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150002893,Ultima Aprobada,Elegible,18.4964551,-69.8889627,18.4964551-69.8889627,ELEGIBLE,NO,S,S1,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000000810,,1.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000001411,1411,BODEGA LA SUERTA,C/ JUAN J.DUARTE # 14 / ENS. LA FE,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,ENSANCHE LA FÉ,TRADICIONAL,341,LUIS OSVALDO BIDO MONTERO,LUIS OSVALDO BIDO MONTERO,RAMON CUELLO HN,RAMON CUELLO HN,18.4835778872172,-69.915864944458,341 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169007905,Ultima Aprobada,Elegible,18.48372231,-69.91567527,18.48372231-69.91567527,ELEGIBLE,NO,S,S1,DSTRTO105,HATO NUEVO,DSTRTO105-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000001411,,1.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000566,566,S/COL. CANDY,LA GUARDIA NO. 51 VILLA CONSUELO,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,VILLA CONSUELO,TRADICIONAL,314,JOSE ENMANUEL ROSARIO MERCEDES,JOSE ENMANUEL ROSARIO MERCEDES,DANIEL BATISTA,DANIEL BATISTA,18.48336,-69.9018,314 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150002076,Ultima Aprobada,Elegible,18.48339,-69.90183666666667,18.48339-69.9018366666667,ELEGIBLE,NO,S,S1,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,2.0,Día 2,,,SUPLENTE,9000000566,,2.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000003505,3505,COLMADO LOS MUCHACHOS II,MARCOS ADON VILLAS AGRICOLAS,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,VILLAS AGRÍCOLAS,TRADICIONAL,323,MIGUEL ABREU PINALES,MIGUEL ABREU PINALES,DANIEL BATISTA,DANIEL BATISTA,18.4958,-69.9053,323 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169009503,Ultima Aprobada,Elegible,18.49577166666667,-69.90545333333333,18.4957716666667-69.9054533333333,ELEGIBLE,NO,S,S1,DSTRTO105,HATO NUEVO,DSTRTO105-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000003505,,1.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000005386,5386,COL EL BARATON DE LA 15,15 ESQ 14,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,27 DE FEBRERO,TRADICIONAL,394,LUIS BREA JIMENEZ,LUIS BREA JIMENEZ,DANIEL BATISTA,DANIEL BATISTA,18.5012283325195,-69.8861312866211,394 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1150012879,Ultima Aprobada,Elegible,18.501285,-69.88613666666667,18.501285-69.8861366666667,ELEGIBLE,NO,S,S1,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,3.0,Día 3,,,SUPLENTE,9000005386,,3.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000001237,1237,COL. THOMAS,C/ SAMANA NO. 30 SECTOR GUACHUPITA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,313,VICTOR GABRIEL MORA CIRIACO,VICTOR GABRIEL MORA CIRIACO,DANIEL BATISTA,DANIEL BATISTA,18.49158,-69.8861,313 SANTO DOMINGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1150005291,Ultima Aprobada,Elegible,18.4916164,-69.88591246,18.4916164-69.88591246,ELEGIBLE,NO,S,S1,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000001237,,1.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000004420,4420,COL. YULI,"C/2 SUR #10, ENS. LUPERON",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,323,MIGUEL ABREU PINALES,MIGUEL ABREU PINALES,DANIEL BATISTA,DANIEL BATISTA,18.49854088,-69.893,323 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169009541,Ultima Aprobada,Elegible,18.49856793333333,-69.89283883333333,18.4985679333333-69.8928388333333,ELEGIBLE,NO,S,S1,DSTRTO105,HATO NUEVO,DSTRTO105-HATO NUEVO,1.0,Día 1,,,SUPLENTE,9000004420,,1.0,JEYSON VALDEZ,Cargar
