CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000571,571,BODEGA CHANELY II,MANUEL UBALDO GOMEZ/MANUELA DI VILLA CONSUELO,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,VILLA CONSUELO,TRADICIONAL,314,JOSE ENMANUEL ROSARIO MERCEDES,JOSE ENMANUEL ROSARIO MERCEDES,DANIEL BATISTA,DANIEL BATISTA,18.4869251251221,-69.9033584594727,314 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150002081,Ultima Aprobada,Elegible,18.48705245,-69.90339557,18.48705245-69.90339557,ELEGIBLE,NO,T,T PANEL,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,2.0,Día 2,28.0,0.0,TITULAR,9000000571,,2.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000713,713,COLMADO DEAZA,JOSE ORTEGA Y GASSET # 25 / ENS. KENNEDY,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,ENSANCHE KENNEDY,TRADICIONAL,421,SMAYLI RAMON RODRIGUEZ QUEZADA,SMAYLI RAMON RODRIGUEZ QUEZADA,RAMON CUELLO HN,RAMON CUELLO HN,18.48426247,-69.92098999,421 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008154,Ultima Aprobada,Elegible,18.48407333333333,-69.92091333333333,18.4840733333333-69.9209133333333,ELEGIBLE,NO,T,T,DSTRTO105,HATO NUEVO,DSTRTO105-HATO NUEVO,2.0,Día 2,30.0,0.0,TITULAR,9000000713,,2.0,JEYSON VALDEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000722,722,AUTO SERVICIO CAMACHO,LOPEZ DE VEGA # 127 ENS. LA FE,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,421,SMAYLI RAMON RODRIGUEZ QUEZADA,SMAYLI RAMON RODRIGUEZ QUEZADA,RAMON CUELLO HN,RAMON CUELLO HN,18.4908828735352,-69.9330520629883,421 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008121,Ultima Aprobada,Elegible,18.4908707,-69.9330775,18.4908707-69.9330775,ELEGIBLE,NO,T,T PANEL,DSTRTO105,HATO NUEVO,DSTRTO105-HATO NUEVO,2.0,Día 2,34.0,0.0,TITULAR,9000000722,,2.0,JEYSON VALDEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000000814,814,COLMADO LOS HERMANOS,C/EDUARDO BRITO ESQ. LUIS REYES ENS. 27 DE FEBRERO,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,27 DE FEBRERO,TRADICIONAL,394,LUIS BREA JIMENEZ,LUIS BREA JIMENEZ,DANIEL BATISTA,DANIEL BATISTA,18.50226,-69.885,394 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150002897,Ultima Aprobada,Elegible,18.50228878,-69.88483749,18.50228878-69.88483749,ELEGIBLE,NO,T,T PANEL,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,3.0,Día 3,45.0,0.0,TITULAR,9000000814,,3.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000060063,60063,COL VICTOR,AV DUARTE,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,LA ZURZA,TRADICIONAL,395,RAMON RODRIGUEZ CORNIEL,RAMON RODRIGUEZ CORNIEL,DANIEL BATISTA,DANIEL BATISTA,18.50572968,-69.91133881,395 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150018034,Ultima Aprobada,Elegible,18.50562884,-69.91140817,18.50562884-69.91140817,ELEGIBLE,NO,T,T,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,1.0,Día 1,7.0,0.0,TITULAR,9000060063,,1.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,Plata,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000074717,74717,MINI BODEGA EL PRIMO,PABLO  SEXTO,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CRISTO REY,TRADICIONAL,340,STARLIN HERRERA,STARLIN HERRERA,RAMON CUELLO HN,RAMON CUELLO HN,18.5011450449626,-69.9301300048828,340 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169006506,Ultima Aprobada,Elegible,18.50124666666667,-69.930275,18.5012466666667-69.930275,ELEGIBLE,NO,T,T,DSTRTO105,HATO NUEVO,DSTRTO105-HATO NUEVO,3.0,Día 3,39.0,0.0,TITULAR,9000074717,,3.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000128025,128025,COLMADO LA FUENTE,MANUELA DIEZ ESQ LA FUENTE,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,GUACHUPITA,TRADICIONAL,313,VICTOR GABRIEL MORA CIRIACO,VICTOR GABRIEL MORA CIRIACO,DANIEL BATISTA,DANIEL BATISTA,18.4948530197144,-69.8844604492188,313 SANTO DOMINGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1150034672,Ultima Aprobada,Elegible,18.5028915,-69.9173322,18.5028915-69.9173322,ELEGIBLE,NO,T,T,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,1.0,Día 1,6.0,0.0,TITULAR,9000128025,,1.0,JEYSON VALDEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000000718,718,COLMADO KEY,"AV. TIRADENTES NO. 99 ENS, LA FE",JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,421,SMAYLI RAMON RODRIGUEZ QUEZADA,SMAYLI RAMON RODRIGUEZ QUEZADA,RAMON CUELLO HN,RAMON CUELLO HN,18.491508324941,-69.9297539393107,421 HATO NUEVO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008120,Ultima Aprobada,Elegible,18.4915,-69.92979166666667,18.4915-69.9297916666667,ELEGIBLE,NO,T,T,DSTRTO105,HATO NUEVO,DSTRTO105-HATO NUEVO,2.0,Día 2,33.0,0.0,TITULAR,9000000718,,2.0,JEYSON VALDEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTO DOMINGO,ZONA OCCIDENTAL  Y SC,9000004694,4694,COL. RAMONITA,JOSEFA BREA # 72 MEJ. SOCIAL,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE LA CIUDAD,TRADICIONAL,314,JOSE ENMANUEL ROSARIO MERCEDES,JOSE ENMANUEL ROSARIO MERCEDES,DANIEL BATISTA,DANIEL BATISTA,18.4877,-69.89,314 SANTO DOMINGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1150003404,Ultima Aprobada,Elegible,18.48760889,-69.8898344,18.48760889-69.8898344,ELEGIBLE,NO,T,T PANEL,DSTRTO105,SANTO DOMINGO,DSTRTO105-HATO NUEVO,2.0,Día 2,23.0,0.0,TITULAR,9000004694,,2.0,JEYSON VALDEZ,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,Plata,HATO NUEVO,ZONA OCCIDENTAL  Y SC,9000055493,55493,SUPER COLMADO MAYITO,JUAN ALEJANDRO IBARRA,JUAN PAULINO,DISTRITO NACIONAL,DISTRITO NACIONAL,LOS RÍOS,TRADICIONAL,341,LUIS OSVALDO BIDO MONTERO,LUIS OSVALDO BIDO MONTERO,RAMON CUELLO HN,RAMON CUELLO HN,18.4859161376953,-69.9187316894531,341 HATO NUEVO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1169008404,Ultima Aprobada,Elegible,18.48585422,-69.91881653,18.48585422-69.91881653,ELEGIBLE,NO,T,T PANEL,DSTRTO105,HATO NUEVO,DSTRTO105-HATO NUEVO,2.0,Día 2,29.0,0.0,TITULAR,9000055493,,2.0,JEYSON VALDEZ,Cargar
