CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SAN FRANCISCO,ZONA NORTE,9000030313,30313,COLMADO LAIS,"C/LUIS A. CASTILLO, CASTILLO",DEYBI VARGAS,DUARTE,DUARTE,SAN FRANCISCO DE MACORÍS (CENTRO),TRADICIONAL,337,ROBINSON CAMILO DE JESÚS,ROBINSON CAMILO DE JESÚS,DANIEL REYES GARCIA,DANIEL REYES GARCIA,19.2083797454833,-70.0286254882812,337 SAN FRANCISCO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1154001020,Ultima Aprobada,Elegible,19.20838263333333,-70.0286697,19.2083826333333-70.0286697,ELEGIBLE,NO,T,T,NGUA106,SAN FRANCISCO,NGUA106-NAGUA,3.0,Día 3,40.0,0.0,TITULAR,9000030313,,3.0,JORGE LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,NAGUA,ZONA ESTE,9000041584,41584,LA TINTORERA DEL MAR,"C\ 6 EDIFICIO D1, APARTAMENTO 1A, VILLA PROGRESO",SAUL GIL,MARÍA TRINIDAD SÁNCHEZ,MARÍA TRINIDAD SÁNCHEZ,MATANCITA,TRADICIONAL,314,JOSE LUIS FEBLES BELTRAN,JOSE LUIS FEBLES BELTRAN,LEONEL ALMONTE ORTEGA,LEONEL ALMONTE ORTEGA,19.3496345943875,-69.8204040527344,314 NAGUA,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1152002454,Ultima Aprobada,Elegible,19.3496933,-69.8205449,19.3496933-69.8205449,ELEGIBLE,NO,T,T,NGUA106,NAGUA,NGUA106-NAGUA,1.0,Día 1,1.0,1.0,TITULAR,9000041584,,1.0,JORGE LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,NAGUA,ZONA ESTE,9000040907,40907,COLMADO GOMEZ (MANUEL GOMEZ),"C/PRINCIPAL,# 29 FACTORIA EL P",SAUL GIL,MARÍA TRINIDAD SÁNCHEZ,MARÍA TRINIDAD SÁNCHEZ,CENTRO DEL PUEBLO,TRADICIONAL,304,JOAQUIN CUELLO FROMETA,JOAQUIN CUELLO FROMETA,RICHARD PAREDES,RICHARD PAREDES,19.258846282959,-69.8925298055013,304 NAGUA,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1152000326,Sin Visita,Elegible,19.258846282959,-69.8925298055013,19.258846282959-69.8925298055013,ELEGIBLE,NO,T,T,NGUA106,NAGUA,NGUA106-NAGUA,2.0,Día 2,36.0,0.0,TITULAR,9000040907,,2.0,JORGE LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,NAGUA,ZONA ESTE,9000041308,41308,COLMADO XIOMARA,CALLE LUPERON #140 SANCHEZ,SAUL GIL,SAMANÁ,SAMANÁ,CENTRO DEL PUEBLO,TRADICIONAL,308,JOSÉ JOAQUÍN VASQUEZ JIMENEZ,JOSÉ JOAQUÍN VASQUEZ JIMENEZ,LEONEL ALMONTE ORTEGA,LEONEL ALMONTE ORTEGA,19.2290832519531,-69.6147247314453,308 NAGUA,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1152001306,Sin Visita,Elegible,19.2290832519531,-69.6147247314453,19.2290832519531-69.6147247314453,ELEGIBLE,NO,T,T,NGUA106,NAGUA,NGUA106-NAGUA,3.0,Día 3,46.0,0.0,TITULAR,9000041308,,3.0,JORGE LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,NAGUA,ZONA ESTE,9000081452,81452,COLMADO YENELY,BARRIO LAS FLORES LA PICHINGA DEL POZO,SAUL GIL,MARÍA TRINIDAD SÁNCHEZ,MARÍA TRINIDAD SÁNCHEZ,CENTRO DEL PUEBLO,TRADICIONAL,304,JOAQUIN CUELLO FROMETA,JOAQUIN CUELLO FROMETA,RICHARD PAREDES,RICHARD PAREDES,19.2677872975667,-69.8710734049479,304 NAGUA,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1152007357,Sin Visita,Elegible,19.2677872975667,-69.8710734049479,19.2677872975667-69.8710734049479,ELEGIBLE,NO,T,T,NGUA106,NAGUA,NGUA106-NAGUA,2.0,Día 2,34.0,0.0,TITULAR,9000081452,,2.0,JORGE LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,NAGUA,ZONA ESTE,9000126834,126834,COLMADO YOANNY,EL PROYECTO LOS MULTIS NO 47 MATANCITAS,SAUL GIL,MARÍA TRINIDAD SÁNCHEZ,MARÍA TRINIDAD SÁNCHEZ,MATANCITA,TRADICIONAL,314,JOSE LUIS FEBLES BELTRAN,JOSE LUIS FEBLES BELTRAN,LEONEL ALMONTE ORTEGA,LEONEL ALMONTE ORTEGA,19.3496532440185,-69.8208770751953,314 NAGUA,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1152009634,Ultima Aprobada,Elegible,19.34964476666666,-69.82081316666667,19.3496447666667-69.8208131666667,ELEGIBLE,NO,T,T,NGUA106,NAGUA,NGUA106-NAGUA,1.0,Día 1,2.0,0.0,TITULAR,9000126834,,1.0,JORGE LUIS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Bronce,NAGUA,ZONA ESTE,9000151248,151248,PARADOR LOS GRINGOS,CARRETERA NAGUA A SANCHEZ FRENTE A PLAYA LOS GRINGOS,SAUL GIL,MARÍA TRINIDAD SÁNCHEZ,MARÍA TRINIDAD SÁNCHEZ,MATANCITA,TRADICIONAL,314,JOSE LUIS FEBLES BELTRAN,JOSE LUIS FEBLES BELTRAN,LEONEL ALMONTE ORTEGA,LEONEL ALMONTE ORTEGA,19.350984,-69.821786,314 NAGUA,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1152011225,Sin Visita,Elegible,19.350984,-69.821786,19.350984-69.821786,ELEGIBLE,NO,T,T,NGUA106,NAGUA,NGUA106-NAGUA,1.0,Día 1,6.0,0.0,TITULAR,9000151248,,1.0,JORGE LUIS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,NAGUA,ZONA ESTE,9000171138,171138,DOMINOS NAGUA,AVE MARIA TRINIDAD SANCHEZ PARQUEO LA SIRENA NAGUA,SAUL GIL,MARÍA TRINIDAD SÁNCHEZ,MARÍA TRINIDAD SÁNCHEZ,CENTRO DEL PUEBLO,TRADICIONAL,302,FELIX MANUEL VALERIO,FELIX MANUEL VALERIO,RICHARD PAREDES,RICHARD PAREDES,19.373594,-69.854456,302 NAGUA,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1152012876,Sin Visita,Elegible,19.373594,-69.854456,19.373594-69.854456,ELEGIBLE,NO,T,T,NGUA106,NAGUA,NGUA106-NAGUA,1.0,Día 1,17.0,0.0,TITULAR,9000171138,,1.0,JORGE LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SAN FRANCISCO,ZONA NORTE,9000030315,30315,COLMADO CHICHI,"C/PROYECTO HOSPITAL #15, CASTILLO",DEYBI VARGAS,DUARTE,DUARTE,SAN FRANCISCO DE MACORÍS (CENTRO),TRADICIONAL,337,ROBINSON CAMILO DE JESÚS,ROBINSON CAMILO DE JESÚS,DANIEL REYES GARCIA,DANIEL REYES GARCIA,19.2055085500081,-70.0252126057943,337 SAN FRANCISCO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1154001022,Ultima Aprobada,Elegible,19.20567,-70.02517666666667,19.20567-70.0251766666667,ELEGIBLE,NO,T,T,NGUA106,SAN FRANCISCO,NGUA106-NAGUA,3.0,Día 3,38.0,0.0,TITULAR,9000030315,,3.0,JORGE LUIS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,NAGUA,ZONA ESTE,9000041790,41790,COLMADO TATICA,"C\PEATONAL #9 EDIFICIO 5 CASA NO. 1,VILLA PROGRESO",SAUL GIL,MARÍA TRINIDAD SÁNCHEZ,MARÍA TRINIDAD SÁNCHEZ,MATANCITA,TRADICIONAL,314,JOSE LUIS FEBLES BELTRAN,JOSE LUIS FEBLES BELTRAN,LEONEL ALMONTE ORTEGA,LEONEL ALMONTE ORTEGA,19.3490081363254,-69.8203514946832,314 NAGUA,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1152003103,Ultima Aprobada,Elegible,19.3490612,-69.8203386,19.3490612-69.8203386,ELEGIBLE,NO,T,T,NGUA106,NAGUA,NGUA106-NAGUA,1.0,Día 1,4.0,0.0,TITULAR,9000041790,,1.0,JORGE LUIS,Cargar
