CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTIAGO,ZONA NORTE,9000119037,119037,COLMADO VENTURA 2,C MANUELICO GONZALES  VILLA GONZALES,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,311,BRAYAN ALVAREZ DOMINGUEZ,BRAYAN ALVAREZ DOMINGUEZ,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.5433559417725,-70.7871932983398,311 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151030044,Ultima Aprobada,Elegible,19.54326,-70.78715666666668,19.54326-70.7871566666667,ELEGIBLE,NO,S,S PANEL,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,,,SUPLENTE,9000119037,,2.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000024046,24046,COLMADO LOS MUCHACHOS,C/13 ESQ. 17 #28. CIEN FUEGO,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,408,BRAYAN FRIAS ESPINAL,BRAYAN FRIAS ESPINAL,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4811840057373,-70.7437705993652,408 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151025850,Ultima Aprobada,Elegible,19.48113166666667,-70.74383166666667,19.4811316666667-70.7438316666667,ELEGIBLE,NO,S,S1,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000024046,,1.0,MARTIN MARTINEZ,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTIAGO,ZONA NORTE,9000122231,122231,COLMADO D IRSELIS,C PRINCIPAL PALMAR ARRIBA VILLA GONZALES,DEYBI VARGAS,SANTIAGO,SANTIAGO,PALMAR ARRIBA,TRADICIONAL,311,BRAYAN ALVAREZ DOMINGUEZ,BRAYAN ALVAREZ DOMINGUEZ,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.5465354919433,-70.7755279541015,311 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151031782,Ultima Aprobada,Elegible,19.546555,-70.77556333333334,19.546555-70.7755633333333,ELEGIBLE,NO,S,S PANEL,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,,,SUPLENTE,9000122231,,2.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTIAGO,ZONA NORTE,9000018249,18249,COLMADO PILARTE,"AV.2DA,CAMBOYA",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,309,JUNIOR ALMANZAR,JUNIOR ALMANZAR,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4862892150879,-70.7057952880859,309 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151002941,Ultima Aprobada,Elegible,19.48642972,-70.70578507,19.48642972-70.70578507,ELEGIBLE,NO,S,S1,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000018249,,1.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTIAGO,ZONA NORTE,9000018286,18286,COLMADO TERESA,"C/3,ESQ.C/15,ENS.LIBERTAD",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,309,JUNIOR ALMANZAR,JUNIOR ALMANZAR,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4869265556335,-70.7199211120605,309 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151002999,Ultima Aprobada,Elegible,19.48692833333333,-70.71982166666666,19.4869283333333-70.7198216666667,ELEGIBLE,NO,S,S1,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000018286,,1.0,MARTIN MARTINEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000022973,22973,CACE SALUD S A,"C/DEL SOL,AREA MONUMENTAL",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,C&B,364,ISIDRO DIAZ,ISIDRO DIAZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.44965744,-70.69389343,364 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151014183,Sin Visita,Elegible,19.44965744,-70.69389343,19.44965744-70.69389343,ELEGIBLE,NO,S,S1,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,,,SUPLENTE,9000022973,,2.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTIAGO,ZONA NORTE,9000020271,20271,COLMADO INOA,"C/2 ESQ. 14,ENS. LIBERTAD",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,309,JUNIOR ALMANZAR,JUNIOR ALMANZAR,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4862196786063,-70.7218791416713,309 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151007403,Ultima Aprobada,Elegible,19.486065,-70.721885,19.486065-70.721885,ELEGIBLE,NO,S,S1,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000020271,,1.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000163136,163136,COLMADO VENTURA,CALLE 6 NO 36 CIENFUEGOS LOS SOLARES,DEYBI VARGAS,SANTIAGO,SANTIAGO,CIENFUEGOS,TRADICIONAL,408,BRAYAN FRIAS ESPINAL,BRAYAN FRIAS ESPINAL,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.491519,-70.757743,408 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151040822,Ultima Aprobada,Elegible,19.49163,-70.757525,19.49163-70.757525,ELEGIBLE,NO,S,S1,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000163136,,1.0,MARTIN MARTINEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000067679,67679,RESTAURANTE EL PLATO FAMILIAR DULCENIA C POR A,AV CIRCUNVALACION,DEYBI VARGAS,SANTIAGO,SANTIAGO,NIBAJE,C&B,364,ISIDRO DIAZ,ISIDRO DIAZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4324684143066,-70.6945037841797,364 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151019468,Ultima Aprobada,Elegible,19.43242,-70.69443,19.43242-70.69443,ELEGIBLE,NO,S,S1,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,,,SUPLENTE,9000067679,,2.0,MARTIN MARTINEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000102545,102545,PARADA CHIMI JOSE SRL,AV NUÑEZ DE CACERES,DEYBI VARGAS,SANTIAGO,SANTIAGO,BELLA VISTA,C&B,364,ISIDRO DIAZ,ISIDRO DIAZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4442615509033,-70.7067489624023,364 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151024917,Sin Visita,Elegible,19.4442615509033,-70.7067489624023,19.4442615509033-70.7067489624023,ELEGIBLE,NO,S,S1,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,,,SUPLENTE,9000102545,,2.0,MARTIN MARTINEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000115276,115276,PIZZA  PIZZA BY BKLYNBROS SRL,C SAN LUIS,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DE LA CIUDAD,C&B,364,ISIDRO DIAZ,ISIDRO DIAZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4541473388671,-70.702537536621,364 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151027696,Ultima Aprobada,Elegible,19.454165,-70.70271833333332,19.454165-70.7027183333333,ELEGIBLE,NO,S,S1,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,,,SUPLENTE,9000115276,,2.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,SANTIAGO,ZONA NORTE,9000023433,23433,COLMADO JORGE,C/SABANA IGLESIA ESQ. A,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,352,SANCHEZ SOSA EDWIN,SANCHEZ SOSA EDWIN,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4868144989014,-70.7418441772461,352 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151025424,Ultima Aprobada,Elegible,19.48695,-70.74185833333333,19.48695-70.7418583333333,ELEGIBLE,NO,S,S1,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000023433,,1.0,MARTIN MARTINEZ,Cargar
