CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SANTIAGO,ZONA NORTE,9000167476,167476,CATFETERIA BISTRO CAFE,AV 27 DE FEBRERO LOS JARDINES STGO,DEYBI VARGAS,SANTIAGO,SANTIAGO,LOS JARDINES METROPOLITANOS,C&B,366,CHRISTHIAN MERCADO,CHRISTHIAN MERCADO,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.45847596575562,-70.69474040847506,366 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151041278,Sin Visita,Elegible,19.45847596575562,-70.69474040847506,19.4584759657556-70.6947404084751,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,3.0,Día 3,39.0,0.0,TITULAR,9000167476,,3.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000017324,17324,COLMADO MI GENTE,"C/ESPAÑA #100,EL CONGO",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,303,ANTHONY DARIA SANCHEZ SURIEL,ANTHONY DARIA SANCHEZ SURIEL,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4569034576416,-70.7032557896205,303 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151001336,Sin Visita Efectiva,Elegible,19.4569034576416,-70.7032557896205,19.4569034576416-70.7032557896205,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,34.0,0.0,TITULAR,9000017324,,2.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000018182,18182,COLMADO CRUZ,"C/O,#7,LOS SALADOS",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,304,MEDINA FAÑA ANSHERLY YAMILE,MEDINA FAÑA ANSHERLY YAMILE,ALEXANDER MARTE,ALEXANDER MARTE,19.4896664619446,-70.7084140777588,304 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151002835,Ultima Aprobada,Elegible,19.48966833333333,-70.70842166666667,19.4896683333333-70.7084216666667,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,1.0,Día 1,17.0,0.0,TITULAR,9000018182,,1.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,SANTIAGO,ZONA NORTE,9000067689,67689,COLMADO TAVAREZ II,CALLE PROYECTO ESQ CALLE  4,DEYBI VARGAS,SANTIAGO,SANTIAGO,LOS SALADOS,TRADICIONAL,311,BRAYAN ALVAREZ DOMINGUEZ,BRAYAN ALVAREZ DOMINGUEZ,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4924266338348,-70.7096004486084,311 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151019477,Ultima Aprobada,Elegible,19.49245901,-70.70963226,19.49245901-70.70963226,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,19.0,0.0,TITULAR,9000067689,,2.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000123979,123979,COLMADO CHOCHO,C PRINCIPAL,DEYBI VARGAS,SANTIAGO,SANTIAGO,RAFEY,TRADICIONAL,320,YUNIOR ANTONIO GUZMAN LAMI,YUNIOR ANTONIO GUZMAN LAMI,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.465274810791,-70.7244033813476,320 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151032641,Sin Visita,Elegible,19.465274810791,-70.7244033813476,19.465274810791-70.7244033813476,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,29.0,0.0,TITULAR,9000123979,,2.0,MARTIN MARTINEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000138021,138021,ALMACEN DE PROVISIONES NENO SRL,C SABANA IGLECIA,DEYBI VARGAS,SANTIAGO,SANTIAGO,CIENFUEGOS,TRADICIONAL,408,BRAYAN FRIAS ESPINAL,BRAYAN FRIAS ESPINAL,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.485064,-70.742297,408 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151035394,Sin Visita,Elegible,19.485064,-70.742297,19.485064-70.742297,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,1.0,Día 1,1.0,1.0,TITULAR,9000138021,,1.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Bronce,SANTIAGO,ZONA NORTE,9000139832,139832,COLMADO CUEVAS,C PROYECTO MELLA 2 CIENFUEGO,DEYBI VARGAS,SANTIAGO,SANTIAGO,CIENFUEGOS,TRADICIONAL,352,SANCHEZ SOSA EDWIN,SANCHEZ SOSA EDWIN,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4858361,-70.7404478,352 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151035708,Sin Visita,Elegible,19.4858361,-70.7404478,19.4858361-70.7404478,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,1.0,Día 1,3.0,0.0,TITULAR,9000139832,,1.0,MARTIN MARTINEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SANTIAGO,ZONA NORTE,9000169864,169864,PARDOS CHICKEN,AV SALVADOR ESTRELLA LOCAL FH 418 4 PISO AGORA CENTER SANTIAGO,DEYBI VARGAS,SANTIAGO,SANTIAGO,LA TRINITARIA,C&B,366,CHRISTHIAN MERCADO,CHRISTHIAN MERCADO,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4583,-70.6862,366 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151041557,Sin Visita,Elegible,19.4583,-70.6862,19.4583-70.6862,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,3.0,Día 3,41.0,0.0,TITULAR,9000169864,,3.0,MARTIN MARTINEZ,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000023317,23317,COLMADO VALDEZ,"C/5, ESQ.11 ENS. LIBERTAD",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,378,VICTORIANO PAULINO,VICTORIANO PAULINO,YOHAO TAVERAS ROSARIO,YOHAO TAVERAS ROSARIO,19.4880027770996,-70.7243347167969,378 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151014664,Ultima Aprobada,Elegible,19.48791846154031,-70.72433527733743,19.4879184615403-70.7243352773374,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,1.0,Día 1,10.0,0.0,TITULAR,9000023317,,1.0,MARTIN MARTINEZ,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SANTIAGO,ZONA NORTE,9000018266,18266,"BRIN MAWR CORPORATION, S.A.","ZONA FRANCA VIEJA,ENS.ESPAILLAT",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,C&B,365,JULIO DE JESUS ARACENA AYBAR,JULIO DE JESUS ARACENA AYBAR,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4757080078125,-70.7292327880859,365 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151026077,Sin Visita,Elegible,19.4757080078125,-70.7292327880859,19.4757080078125-70.7292327880859,ELEGIBLE,NO,T,T,STIAGO107,SANTIAGO,STIAGO107-SANTIAGO,2.0,Día 2,26.0,0.0,TITULAR,9000018266,,2.0,MARTIN MARTINEZ,Cargar
