CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000163431,163431,PIZZA GUETTO CERRO ALTO,CALLE NO 5 CERRO ALTO,DEYBI VARGAS,SANTIAGO,SANTIAGO,CERRO ALTO,C&B,367,LUIS MANUEL PARRA RAMIREZ,LUIS MANUEL PARRA RAMIREZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.479631,-70.700027,367 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151040850,Ultima Aprobada,Elegible,19.47955833333333,-70.69998000000001,19.4795583333333-70.69998,ELEGIBLE,NO,S,S1,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000163431,,1.0,YARLENYS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000166480,166480,CHICHARRON AND CIGARS LUC SRL,CARRETERA PRINCIPAL  JACAGUA SANTIAGO,DEYBI VARGAS,SANTIAGO,SANTIAGO,JACAGUA,C&B,367,LUIS MANUEL PARRA RAMIREZ,LUIS MANUEL PARRA RAMIREZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.51134473274359,-70.69086947667354,367 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151041176,Sin Visita,Elegible,19.51134473274359,-70.69086947667354,19.5113447327436-70.6908694766735,ELEGIBLE,NO,S,S1,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000166480,,1.0,YARLENYS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000169655,169655,PICA POLLO TIA SARA SRL,AV PASEO DE LOS CHOFERES PADRE LAS CASAS LA GALLERA,DEYBI VARGAS,SANTIAGO,SANTIAGO,LA GALLERA,C&B,367,LUIS MANUEL PARRA RAMIREZ,LUIS MANUEL PARRA RAMIREZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.473573,-70.690955,367 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151041530,Sin Visita,Elegible,19.473573,-70.690955,19.473573-70.690955,ELEGIBLE,NO,S,S1,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000169655,,1.0,YARLENYS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000017049,17049,COLMADO MARINO,C/9 #18 HOYA DEL CAIMITO ROMELINDA,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,307,JUAN ESTRELLA,JUAN ESTRELLA,ALEXANDER MARTE,ALEXANDER MARTE,19.4621105194091,-70.6687316894531,307 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151000947,Ultima Aprobada,Elegible,19.462178,-70.6688165,19.462178-70.6688165,ELEGIBLE,NO,S,S1,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000017049,,1.0,YARLENYS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000021267,21267,COLMADO ALMENDRA,307BRISAS DEL NORTE C5 STGOS,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,380,JUNIOR REYES,JUNIOR REYES,ALEXANDER MARTE,ALEXANDER MARTE,19.4697980880737,-70.6543817520142,380 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151010896,Ultima Aprobada,Elegible,19.46978333333333,-70.654385,19.4697833333333-70.654385,ELEGIBLE,NO,S,S1,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000021267,,1.0,YARLENYS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTIAGO,ZONA NORTE,9000017047,17047,COLMADO SAN RAFAEL,"AV.METROPOLITANA NO.26, LOS JARDINES",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,325,BRIAN JOSE NUÑEZ,BRIAN JOSE NUÑEZ,JUAN LUIS LA HOZ,JUAN LUIS LA HOZ,19.4649116516113,-70.6932205200195,325 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151000945,Sin Visita,Elegible,19.4649116516113,-70.6932205200195,19.4649116516113-70.6932205200195,ELEGIBLE,NO,S,S1,STAGO108,SANTIAGO,STAGO108-SANTIAGO,2.0,Día 2,,,SUPLENTE,9000017047,,2.0,YARLENYS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000016901,16901,COLMADO ESTEVEZ,"C/1 # 35,ENSANCHE ORTEGA",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,305,DARWIN GARCIA,DARWIN GARCIA,JUAN LUIS LA HOZ,JUAN LUIS LA HOZ,19.4350686073303,-70.694881439209,305 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151000717,Ultima Aprobada,Elegible,19.434997,-70.69492344,19.434997-70.69492344,ELEGIBLE,NO,S,S1,STAGO108,SANTIAGO,STAGO108-SANTIAGO,2.0,Día 2,,,SUPLENTE,9000016901,,2.0,YARLENYS,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,SANTIAGO,ZONA NORTE,9000017467,17467,SUPER COLMADO TAPIA,C/ALEJANDRO LLENAS ESQ. JOSE ML GLAS  PUEBLO NUEVO,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,ESPECIALIZADO TRADICIONAL,374,JOSEPH MANUEL SANCHEZ NUÑEZ,JOSEPH MANUEL SANCHEZ NUÑEZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4624237060547,-70.7084686279297,374 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151001560,Ultima Aprobada,Elegible,19.46240333333333,-70.70838,19.4624033333333-70.70838,ELEGIBLE,NO,S,S1,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000017467,,1.0,YARLENYS,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,SANTIAGO,ZONA NORTE,9000021019,21019,MINI MARKET DIONIS,"C/A #12, VILLA OLGA",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,307,JUAN ESTRELLA,JUAN ESTRELLA,ALEXANDER MARTE,ALEXANDER MARTE,19.4541273117065,-70.673957824707,307 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151010056,Ultima Aprobada,Elegible,19.45411833333333,-70.67396333333333,19.4541183333333-70.6739633333333,ELEGIBLE,NO,S,S1,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000021019,,1.0,YARLENYS,Cargar
NO,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,SANTIAGO,ZONA NORTE,9000017117,17117,MINI MARKET YOVA,C/8 GURABO,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,315,LEOMAR JIMENEZ,LEOMAR JIMENEZ,ALEXANDER MARTE,ALEXANDER MARTE,19.4735622406006,-70.6765502929688,315 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151001043,Sin Visita,Elegible,19.4735622406006,-70.6765502929688,19.4735622406006-70.6765502929688,ELEGIBLE,NO,S,S1,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,,,SUPLENTE,9000017117,,1.0,YARLENYS,Cargar
