CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000016744,16744,RESTAURANT LA PARRILLITA,"AV. JUAN PABLO DUARTE #162, LA ESMERALDA",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,C&B,373,LUIS DOMINGUEZ,LUIS DOMINGUEZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.45050364539628,-70.65147769258317,373 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151000487,Ultima Aprobada,Elegible,19.450471,-70.6515415,19.450471-70.6515415,ELEGIBLE,NO,T,T,STAGO108,SANTIAGO,STAGO108-SANTIAGO,3.0,Día 3,53.0,0.0,TITULAR,9000016744,,3.0,YARLENYS,Cargar
SI,HOME MARKET TRADICIONAL,MINIMERCADOS,ORO,SANTIAGO,ZONA NORTE,9000016749,16749,MINI MARKET JUAN,"AV.27 DE FEB, URB.EL AMANECER",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,325,BRIAN JOSE NUÑEZ,BRIAN JOSE NUÑEZ,JUAN LUIS LA HOZ,JUAN LUIS LA HOZ,19.45110703,-70.67809296,325 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151000496,Ultima Aprobada,Elegible,19.45120833333333,-70.67809000000001,19.4512083333333-70.67809,ELEGIBLE,NO,T,T PANEL,STAGO108,SANTIAGO,STAGO108-SANTIAGO,3.0,Día 3,48.0,0.0,TITULAR,9000016749,,3.0,YARLENYS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000016818,16818,COLMADO ALEX,KM 2 1/2 CARRET.LICEY STGO.,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,TRADICIONAL,346,GEN HOU TSANG,GEN HOU TSANG,ALEXANDER MARTE,ALEXANDER MARTE,19.4544551849365,-70.6605529785156,346 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151000588,Ultima Aprobada,Elegible,19.45437166666667,-70.66054333333334,19.4543716666667-70.6605433333333,ELEGIBLE,NO,T,T PANEL,STAGO108,SANTIAGO,STAGO108-SANTIAGO,3.0,Día 3,52.0,0.0,TITULAR,9000016818,,3.0,YARLENYS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTIAGO,ZONA NORTE,9000017277,17277,COLMADO NACHO,"C/2 #26, CECARA",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,ESPECIALIZADO TRADICIONAL,374,JOSEPH MANUEL SANCHEZ NUÑEZ,JOSEPH MANUEL SANCHEZ NUÑEZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4715904659695,-70.6967358059353,374 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151001265,Ultima Aprobada,Elegible,19.47158666666667,-70.69670500000001,19.4715866666667-70.696705,ELEGIBLE,NO,T,T PANEL,STAGO108,SANTIAGO,STAGO108-SANTIAGO,2.0,Día 2,19.0,0.0,TITULAR,9000017277,,2.0,YARLENYS,Cargar
SI,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000102391,102391,COMEDOR EL BUEN SAZON,C CABABACOA,DEYBI VARGAS,SANTIAGO,SANTIAGO,BARRIO LINDO,C&B,373,LUIS DOMINGUEZ,LUIS DOMINGUEZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.42827225,-70.67794037,373 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151024884,Ultima Aprobada,Elegible,19.4280285,-70.6779895,19.4280285-70.6779895,ELEGIBLE,NO,T,T PANEL,STAGO108,SANTIAGO,STAGO108-SANTIAGO,3.0,Día 3,39.0,0.0,TITULAR,9000102391,,3.0,YARLENYS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000109161,109161,EL MENU SABROSO D MIKY,CARRETERA LUPERON,DEYBI VARGAS,SANTIAGO,SANTIAGO,GURABO,C&B,367,LUIS MANUEL PARRA RAMIREZ,LUIS MANUEL PARRA RAMIREZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.49559,-70.65307,367 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151026751,Ultima Aprobada,Elegible,19.4955711,-70.65304858,19.4955711-70.65304858,ELEGIBLE,NO,T,T,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,1.0,1.0,TITULAR,9000109161,,1.0,YARLENYS,Cargar
SI,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000124829,124829,EL PUNTO DEL POLLO,CARRET JACAGUA LOS REYES,DEYBI VARGAS,SANTIAGO,SANTIAGO,URBANIZACIÓN LOS REYES,C&B,367,LUIS MANUEL PARRA RAMIREZ,LUIS MANUEL PARRA RAMIREZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4893856048583,-70.7072143554687,367 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151032812,Ultima Aprobada,Elegible,19.48978666666666,-70.70724166666668,19.4897866666667-70.7072416666667,ELEGIBLE,NO,T,T PANEL,STAGO108,SANTIAGO,STAGO108-SANTIAGO,2.0,Día 2,23.0,0.0,TITULAR,9000124829,,2.0,YARLENYS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTIAGO,ZONA NORTE,9000133145,133145,SUPER MARKET LOS CERROS,C MANUEL GRULLON URBANIZACION CERRO DE GURABO,DEYBI VARGAS,SANTIAGO,SANTIAGO,GURABO,ESPECIALIZADO TRADICIONAL,374,JOSEPH MANUEL SANCHEZ NUÑEZ,JOSEPH MANUEL SANCHEZ NUÑEZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.46445660672538,-70.68031036153926,374 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151034518,Sin Visita,Elegible,19.46445660672538,-70.68031036153926,19.4644566067254-70.6803103615393,ELEGIBLE,NO,T,T,STAGO108,SANTIAGO,STAGO108-SANTIAGO,3.0,Día 3,49.0,0.0,TITULAR,9000133145,,3.0,YARLENYS,Cargar
NO,HOME MARKET TRADICIONAL,TIENDAS,Plata,SANTIAGO,ZONA NORTE,9000145157,145157,COLMADO JULIAN,C M LARGA,DEYBI VARGAS,SANTIAGO,SANTIAGO,LAS MERCEDES,TRADICIONAL,346,GEN HOU TSANG,GEN HOU TSANG,ALEXANDER MARTE,ALEXANDER MARTE,19.477891921997,-70.6946945190429,346 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151037517,Ultima Aprobada,Elegible,19.4778841,-70.6946441,19.4778841-70.6946441,ELEGIBLE,NO,T,T,STAGO108,SANTIAGO,STAGO108-SANTIAGO,2.0,Día 2,20.0,0.0,TITULAR,9000145157,,2.0,YARLENYS,Cargar
SI,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SANTIAGO,ZONA NORTE,9000151681,151681,LA TERRAZA FEROVE SRL,C LUPERON,DEYBI VARGAS,SANTIAGO,SANTIAGO,GURABO,C&B,367,LUIS MANUEL PARRA RAMIREZ,LUIS MANUEL PARRA RAMIREZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4688355539642,-70.6857956814883,367 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151038552,Ultima Aprobada,Elegible,19.46884333333333,-70.68582333333333,19.4688433333333-70.6858233333333,ELEGIBLE,NO,T,T PANEL,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,17.0,0.0,TITULAR,9000151681,,1.0,YARLENYS,Cargar
SI,HOME MARKET TRADICIONAL,TIENDAS,ORO,SANTIAGO,ZONA NORTE,9000017369,17369,COLMADO ENMANUEL,C/PADRE LAS CASAS #91,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,ESPECIALIZADO TRADICIONAL,374,JOSEPH MANUEL SANCHEZ NUÑEZ,JOSEPH MANUEL SANCHEZ NUÑEZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4709680080414,-70.6917581558228,374 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,TITAN,1151001410,Ultima Aprobada,Elegible,19.47091833333333,-70.69172833333333,19.4709183333333-70.6917283333333,ELEGIBLE,NO,T,T PANEL,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,18.0,0.0,TITULAR,9000017369,,1.0,YARLENYS,Cargar
