CLIENTE FIJO 30%,TIPO CLIENTE ICE (D&N),SUB CANAL,TAMAÑO ICE KO,LOCALIDAD-AGENCIA,ZONA,Codigo DN,ID cliente/PDV,NAME Cliente (PDV),DIRECCIÓN,GERENTE COMERCIAL,PROVINCIA,DISTRITO MUNICIPAL,SECTOR,TIPO DE RUTA,RUTA PREVENTA,NOMBRE PREVENTA,Persona 1,supervisor,Persona 2,LATITUD,LONGITUD,RUTA-LOCALIDAD D&N,ZONA DE RETORNABILIDAD,Incidencia,Clasificación,ID SSTC,Estatus,Comentario,LATITUDE,LONGITUDE,LOLA,ELEGIBLE,ELIMINAR,SELECCION,ETIQUETA,MT,CDA,MT FINAL,RutaDN1,Dia_Asignado,Orden_Ruta,Punto_Inicio,TIPO,CODIGO D&N,export.Estado,DIA,Tabla11.auditor,MUESTRA CUMPL.
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000016744,16744,RESTAURANT LA PARRILLITA,"AV. JUAN PABLO DUARTE #162, LA ESMERALDA",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,C&B,373,LUIS DOMINGUEZ,LUIS DOMINGUEZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.45050364539628,-70.65147769258317,373 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151000487,Ultima Aprobada,Elegible,19.450471,-70.6515415,19.450471-70.6515415,ELEGIBLE,NO,T,T,STAGO108,SANTIAGO,STAGO108-SANTIAGO,3.0,Día 3,53.0,0.0,TITULAR,9000016744,,3.0,YARLENYS,Cargar
SI,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000102391,102391,COMEDOR EL BUEN SAZON,C CABABACOA,DEYBI VARGAS,SANTIAGO,SANTIAGO,BARRIO LINDO,C&B,373,LUIS DOMINGUEZ,LUIS DOMINGUEZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.42827225,-70.67794037,373 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151024884,Ultima Aprobada,Elegible,19.4280285,-70.6779895,19.4280285-70.6779895,ELEGIBLE,NO,T,T PANEL,STAGO108,SANTIAGO,STAGO108-SANTIAGO,3.0,Día 3,39.0,0.0,TITULAR,9000102391,,3.0,YARLENYS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000109161,109161,EL MENU SABROSO D MIKY,CARRETERA LUPERON,DEYBI VARGAS,SANTIAGO,SANTIAGO,GURABO,C&B,367,LUIS MANUEL PARRA RAMIREZ,LUIS MANUEL PARRA RAMIREZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.49559,-70.65307,367 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151026751,Ultima Aprobada,Elegible,19.4955711,-70.65304858,19.4955711-70.65304858,ELEGIBLE,NO,T,T,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,1.0,1.0,TITULAR,9000109161,,1.0,YARLENYS,Cargar
SI,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000124829,124829,EL PUNTO DEL POLLO,CARRET JACAGUA LOS REYES,DEYBI VARGAS,SANTIAGO,SANTIAGO,URBANIZACIÓN LOS REYES,C&B,367,LUIS MANUEL PARRA RAMIREZ,LUIS MANUEL PARRA RAMIREZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4893856048583,-70.7072143554687,367 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151032812,Ultima Aprobada,Elegible,19.48978666666666,-70.70724166666668,19.4897866666667-70.7072416666667,ELEGIBLE,NO,T,T PANEL,STAGO108,SANTIAGO,STAGO108-SANTIAGO,2.0,Día 2,23.0,0.0,TITULAR,9000124829,,2.0,YARLENYS,Cargar
SI,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,Plata,SANTIAGO,ZONA NORTE,9000151681,151681,LA TERRAZA FEROVE SRL,C LUPERON,DEYBI VARGAS,SANTIAGO,SANTIAGO,GURABO,C&B,367,LUIS MANUEL PARRA RAMIREZ,LUIS MANUEL PARRA RAMIREZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4688355539642,-70.6857956814883,367 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151038552,Ultima Aprobada,Elegible,19.46884333333333,-70.68582333333333,19.4688433333333-70.6858233333333,ELEGIBLE,NO,T,T PANEL,STAGO108,SANTIAGO,STAGO108-SANTIAGO,1.0,Día 1,17.0,0.0,TITULAR,9000151681,,1.0,YARLENYS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000017791,17791,PIZZERIA LA ANTILLANA,"AUTOPISTA DUARTE KM.3 1/2,EMBRUJO III",DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DEL PUEBLO,C&B,373,LUIS DOMINGUEZ,LUIS DOMINGUEZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4394966125488,-70.6671676635742,373 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151002153,Sin Visita,Elegible,19.4394966125488,-70.6671676635742,19.4394966125488-70.6671676635742,ELEGIBLE,NO,T,T,STAGO108,SANTIAGO,STAGO108-SANTIAGO,3.0,Día 3,44.0,0.0,TITULAR,9000017791,,3.0,YARLENYS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000129586,129586,OCIO GASTROPUB SRL,AV METROPOLITANA,DEYBI VARGAS,SANTIAGO,SANTIAGO,LOS JARDINES METROPOLITANOS,C&B,367,LUIS MANUEL PARRA RAMIREZ,LUIS MANUEL PARRA RAMIREZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4644336700439,-70.6930770874023,367 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151033815,Ultima Aprobada,Elegible,19.46444666666667,-70.69319999999999,19.4644466666667-70.6932,ELEGIBLE,NO,T,T,STAGO108,SANTIAGO,STAGO108-SANTIAGO,2.0,Día 2,27.0,0.0,TITULAR,9000129586,,2.0,YARLENYS,Cargar
SI,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000137335,137335,LOS ALAMOS,C BUENA VISTA LOS ALAMOS HATO MAYOR,DEYBI VARGAS,SANTIAGO,SANTIAGO,LOS ÁLAMOS,C&B,373,LUIS DOMINGUEZ,LUIS DOMINGUEZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.43508,-70.661527,373 SANTIAGO,ALTA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151035283,Ultima Aprobada,Elegible,19.4350102,-70.6615252,19.4350102-70.6615252,ELEGIBLE,NO,T,T PANEL,STAGO108,SANTIAGO,STAGO108-SANTIAGO,3.0,Día 3,43.0,0.0,TITULAR,9000137335,,3.0,YARLENYS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000153460,153460,PIZZA GUETTO PADRE LAS CASAS,PADRE LA CASA,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DE LA CIUDAD,C&B,367,LUIS MANUEL PARRA RAMIREZ,LUIS MANUEL PARRA RAMIREZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4758556932857,-70.6899434778126,367 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151038994,Sin Visita,Elegible,19.4758556932857,-70.6899434778126,19.4758556932857-70.6899434778126,ELEGIBLE,NO,T,T,STAGO108,SANTIAGO,STAGO108-SANTIAGO,2.0,Día 2,21.0,0.0,TITULAR,9000153460,,2.0,YARLENYS,Cargar
NO,ON PREMISE,CAFETERIA / RESTAURANTE INFORMAL,ORO,SANTIAGO,ZONA NORTE,9000159738,159738,RESTAURANTE DELICIA WU,CALLE BARTOLOME COLON 82,DEYBI VARGAS,SANTIAGO,SANTIAGO,CENTRO DE LA CIUDAD,C&B,367,LUIS MANUEL PARRA RAMIREZ,LUIS MANUEL PARRA RAMIREZ,ANTONIO JIMENEZ,ANTONIO JIMENEZ,19.4629383087158,-70.6970443725585,367 SANTIAGO,BAJA RETORNABILIDAD,SIN INCIDENCIA,ICE,1151040427,Ultima Aprobada,Elegible,19.46294333333333,-70.69706333333333,19.4629433333333-70.6970633333333,ELEGIBLE,NO,T,T,STAGO108,SANTIAGO,STAGO108-SANTIAGO,2.0,Día 2,26.0,0.0,TITULAR,9000159738,,2.0,YARLENYS,Cargar
